марка,модель,поколение,мощность,год,пробег,состояние,двери,кузов,топливо,трансмиссия,цвет,привод,руль,комплектация,цена
BMW,X5,E53,231,2003.0,332000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,525000
BMW,1 серия,E81/E82/E87/E88,115,2010.0,152000.0,не битый,5.0,хетчбэк,бензин,автомат,красный,задний,левый,Base,485000
BMW,X6,E71,249,2009.0,100000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,2000000
BMW,5 серия GT,F07,306,2011.0,187000.0,не битый,5.0,хетчбэк,бензин,автомат,чёрный,полный,левый,Base,890000
BMW,X6,E71,306,2008.0,175000.0,не битый,5.0,внедорожник,бензин,автомат,серый,полный,левый,Base,850000
BMW,5 серия,E60/E61,218,2006.0,202393.0,не битый,4.0,седан,бензин,автомат,синий,задний,левый,Base,500000
BMW,X6,E71,407,2010.0,130000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,839000
BMW,X1,F48,192,2018.0,18573.0,не битый,5.0,внедорожник,бензин,автомат,белый,полный,левый,Advantage,2190000
BMW,1 серия,E81/E82/E87/E88,156,2008.0,130000.0,не битый,3.0,хетчбэк,бензин,автомат,красный,задний,левый,Base,390000
BMW,5 серия,G30/G31,249,2017.0,88500.0,не битый,4.0,седан,бензин,автомат,белый,полный,левый,Sport,2560000
BMW,X5,E70,235,2008.0,269500.0,не битый,5.0,внедорожник,дизель,автомат,синий,полный,левый,Base,1173000
BMW,X5,E70,286,2008.0,278000.0,не битый,5.0,внедорожник,дизель,автомат,серый,полный,левый,Base,1060000
BMW,X3,F25,184,2014.0,94000.0,не битый,5.0,внедорожник,дизель,автомат,голубой,полный,левый,Base,1570000
BMW,5 серия,E39,163,2002.0,446000.0,не битый,4.0,седан,дизель,механика,серый,задний,левый,Base,180000
BMW,3 серия,E46,105,1999.0,230000.0,не битый,4.0,седан,бензин,механика,голубой,задний,левый,Base,265000
BMW,X3,E83,177,2009.0,208844.0,не битый,5.0,внедорожник,дизель,автомат,серебряный,полный,левый,Base,759000
BMW,1 серия,F20/F21,136,2012.0,130000.0,не битый,5.0,хетчбэк,бензин,автомат,белый,задний,левый,Base,600000
BMW,5 серия,E39,170,2001.0,292000.0,не битый,4.0,седан,бензин,механика,серебряный,задний,левый,Base,455555
BMW,X5,E70,264,2008.0,189000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,777000
BMW,X3,G01,190,2018.0,55000.0,битый,5.0,внедорожник,дизель,автомат,коричневый,полный,правый,xLine,1360000
BMW,5 серия,F10/F11,184,2012.0,166500.0,не битый,4.0,седан,дизель,автомат,белый,задний,левый,Base,999999
BMW,3 серия,E46,150,1999.0,345000.0,не битый,4.0,седан,бензин,механика,серый,задний,левый,Base,260000
BMW,X5,E53,231,2005.0,189000.0,не битый,5.0,внедорожник,бензин,автомат,зелёный,полный,левый,Base,580000
BMW,X5,E70,272,2007.0,255000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,719777
BMW,X5,E53,231,2006.0,170000.0,не битый,5.0,внедорожник,бензин,автомат,коричневый,полный,левый,Base,600000
BMW,X5,E70,245,2011.0,100000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,195000
BMW,Z4,E89,258,2009.0,72400.0,не битый,2.0,кабриолет,бензин,автомат,синий,задний,левый,Base,1550000
BMW,X5,E70,235,2007.0,275000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,950000
BMW,X5,E70,272,2007.0,210000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,709777
BMW,i3,I01,170,2016.0,21000.0,не битый,5.0,хетчбэк,электро,автомат,белый,задний,левый,Base,2450000
BMW,5 серия,E34,170,1990.0,295000.0,не битый,4.0,седан,бензин,механика,чёрный,задний,левый,Base,180000
BMW,X5,E70,264,2008.0,196000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,890000
BMW,3 серия,E90/E91/E92/E93,136,2009.0,210000.0,не битый,4.0,седан,бензин,автомат,чёрный,задний,левый,SE,650000
BMW,3 серия,E90/E91/E92/E93,218,2013.0,55000.0,не битый,2.0,купе,бензин,автомат,серый,полный,левый,Base,999900
BMW,X3,E83,192,2004.0,219307.0,не битый,5.0,внедорожник,бензин,автомат,серебряный,полный,левый,Base,470000
BMW,3 серия,E90/E91/E92/E93,136,2011.0,156000.0,не битый,4.0,седан,бензин,автомат,белый,задний,левый,Base,550000
BMW,X6,E71,306,2008.0,210000.0,не битый,5.0,внедорожник,бензин,автомат,зелёный,полный,левый,Base,1070000
BMW,X1,E84,245,2011.0,146431.0,не битый,5.0,внедорожник,бензин,автомат,белый,полный,левый,Exclusive,849000
BMW,X6,E71,306,2014.0,88000.0,не битый,5.0,внедорожник,бензин,автомат,белый,полный,левый,Base,1900000
BMW,1 серия,E81/E82/E87/E88,218,2008.0,116000.0,не битый,2.0,купе,бензин,автомат,чёрный,задний,левый,Base,570000
BMW,X6,E71,235,2010.0,139000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,1570000
BMW,X6,E71,306,2012.0,94000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,1450000
BMW,5 серия,E34,115,1990.0,311000.0,не битый,4.0,седан,дизель,механика,красный,задний,левый,Base,250000
BMW,3 серия,E46,170,2000.0,330000.0,не битый,4.0,седан,бензин,автомат,серебряный,задний,левый,Base,290000
BMW,5 серия,E34,192,1994.0,400000.0,не битый,4.0,седан,бензин,механика,чёрный,задний,левый,Base,120000
BMW,X5,E70,235,2008.0,218000.0,не битый,5.0,внедорожник,дизель,автомат,серый,полный,левый,Base,1080000
BMW,1 серия,E81/E82/E87/E88,150,2005.0,164000.0,не битый,5.0,хетчбэк,бензин,автомат,синий,задний,левый,Base,370000
BMW,3 серия,E90/E91/E92/E93,218,2007.0,164000.0,не битый,4.0,седан,бензин,автомат,синий,полный,левый,Base,550000
BMW,3 серия,E46,204,2001.0,370000.0,не битый,5.0,универсал,дизель,автомат,серебряный,полный,левый,Base,550000
BMW,X5,E70,235,2009.0,220000.0,не битый,5.0,внедорожник,дизель,автомат,синий,полный,левый,Base,1079000
BMW,X3,F25,184,2014.0,53000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,1349000
BMW,3 серия,E36,143,1996.0,256000.0,битый,4.0,седан,дизель,механика,белый,задний,левый,Base,45000
BMW,X5,F15,218,2015.0,106000.0,не битый,5.0,внедорожник,дизель,автомат,серый,полный,левый,Business,2350000
BMW,7 серия,F01/F02,320,2012.0,80000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,1600000
BMW,7 серия,G11/G12,450,2015.0,100000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,2800000
BMW,3 серия,F30/F31,184,2018.0,44000.0,не битый,4.0,седан,бензин,автомат,красный,полный,левый,Sport,1950000
BMW,X3,E83,218,2010.0,183350.0,не битый,5.0,внедорожник,бензин,автомат,белый,полный,левый,Base,850000
BMW,X3,F25,184,2012.0,254000.0,не битый,5.0,внедорожник,дизель,автомат,серебряный,полный,левый,Base,1170000
BMW,2 серия Active Tourer,F45,136,2017.0,19000.0,не битый,5.0,минивэн,бензин,автомат,чёрный,передний,левый,Advantage,1198000
BMW,3 серия,E46,136,2000.0,378000.0,не битый,4.0,седан,дизель,механика,зелёный,задний,левый,Base,257000
BMW,5 серия,E60/E61,218,2006.0,210000.0,не битый,4.0,седан,бензин,автомат,серебряный,полный,левый,Base,600000
BMW,5 серия,E60/E61,218,2008.0,260000.0,не битый,4.0,седан,бензин,автомат,синий,задний,левый,Base,600000
BMW,X5,E70,245,2010.0,170000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Luxe,1600000
BMW,5 серия,E60/E61,218,2005.0,248000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,579000
BMW,X3,E83,231,2005.0,210000.0,не битый,5.0,внедорожник,бензин,автомат,серый,полный,левый,Base,625000
BMW,3 серия,F30/F31,136,2013.0,133000.0,не битый,4.0,седан,бензин,автомат,коричневый,задний,левый,SE,919000
BMW,3 серия,E46,118,1999.0,299000.0,не битый,4.0,седан,бензин,механика,чёрный,задний,левый,Base,365000
BMW,7 серия,G11/G12,450,2016.0,111000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,2750000
BMW,5 серия,E39,170,1998.0,198000.0,не битый,4.0,седан,бензин,автомат,синий,задний,левый,Base,260000
BMW,X6,E71,306,2009.0,159000.0,не битый,5.0,внедорожник,бензин,автомат,серебряный,полный,левый,Base,1208000
BMW,3 серия,E46,150,1998.0,300000.0,не битый,4.0,седан,бензин,механика,чёрный,задний,левый,Base,235000
BMW,5 серия,E39,231,2002.0,565000.0,не битый,4.0,седан,бензин,автомат,синий,задний,левый,Base,395000
